visual_group,image_path,pexels_photo_id,photographer,photographer_url,pexels_url,alt,query_used,score
cava,assets/cava.jpg,5379748,Leeloo The First,https://www.pexels.com/@leeloothefirst,https://www.pexels.com/photo/a-champagne-bottle-against-a-light-pink-background-5379748/,"Champagne bottle with festive sprinkles on a light pink background, ideal for celebrations.",sparkling wine bottle,2.92
cereales,assets/cereales.jpg,5208246,https://kaboompics.com/,https://www.pexels.com/@karola-g,https://www.pexels.com/photo/fresh-fruits-and-cereals-in-a-bowl-on-a-white-surface-5208246/,A minimalist image featuring a cereal bowl with fresh pear slices and scattered cereals on a white surface.,breakfast cereal box white background [color=white],2.63
cerveza,assets/cerveza.jpg,12039663,mockupbee,https://www.pexels.com/@mockupbee-221716013,https://www.pexels.com/photo/glass-bottles-on-white-surface-12039663/,"Two dark glass beverage bottles on a plain white background, ideal for mockup designs.",beer bottles isolated white background [color=white],4.171
champu,assets/champu.jpg,8167172,Daria Liudnaya,https://www.pexels.com/@daria-liudnaya,https://www.pexels.com/photo/a-brown-pump-bottle-8167172/,"A stylish still life of a brown pump bottle framed by a white arch, ideal for product photography.",shampoo bottle isolated white background [color=white],5.573
chocolate,assets/chocolate.jpg,4110090,Polina Tankilevitch,https://www.pexels.com/@polina-tankilevitch,https://www.pexels.com/photo/close-up-photo-of-chopped-chocolates-4110090/,"Scattered chocolate chunks and shavings on a white background, showcasing dessert ingredients.",dark chocolate bar squares broken,4.277
comida_gato,assets/comida_gato.jpg,12928245,Barking Royalty,https://www.pexels.com/@barking-royalty-276311748,https://www.pexels.com/photo/animal-feed-in-bowl-12928245/,Studio shot of a blue bowl filled with brown pet food pellets against a neutral white background.,cat food kibble bowl white background [color=white],3.573
comida_perro,assets/comida_perro.jpg,13419673,Lana Kravchenko,https://www.pexels.com/@lana-kravchenko-25433295,https://www.pexels.com/photo/close-up-of-dog-treats-on-a-container-13419673/,Close-up of bone-shaped dog treats in a white container on a white surface.,dry dog food,4.612
conservas_pescado,assets/conservas_pescado.jpg,12001951,Towfiqu barbhuiya,https://www.pexels.com/@towfiqu-barbhuiya-3440682,https://www.pexels.com/photo/canned-tuna-12001951/,Open can of tuna on a light background with a decorative leaf. Ideal for food packaging visuals.,canned tuna tin white background [color=white],4.713
desodorante,assets/desodorante.jpg,19147431,Valeriia Miller,https://www.pexels.com/@valeriiamiller,https://www.pexels.com/photo/box-and-bottle-of-deodorant-19147431/,"Stylish pink deodorant bottle with box on a white background, ideal for beauty product promotions.",deodorant spray can cosmetic product [color=white],5.508
detergente,assets/detergente.jpg,5217886,Anna Shvets,https://www.pexels.com/@shvetsa,https://www.pexels.com/photo/plastic-bottle-with-conditioner-for-washing-5217886/,Plastic bottle of fabric softener chemical liquid for washing and household chores against white background,laundry detergent bottle white background [color=white],5.836
embutido,assets/embutido.jpg,5491290,Adonyi Gábor,https://www.pexels.com/@adonyi-foto,https://www.pexels.com/photo/sliced-meat-on-white-background-5491290/,"Close-up of delicious rolled ham slices on a white surface, perfect for finger food or sandwiches.",sliced cured ham charcuterie white background [color=white],3.484
especias,assets/especias.jpg,5213946,Dario Méndez,https://www.pexels.com/@dario-mendez-3488362,https://www.pexels.com/photo/curry-powder-in-a-glass-jar-5213946/,Close-up of a glass jar containing aromatic curry powder on a white surface.,spice jars isolated white background [color=white],4.117
fruta,assets/fruta.jpg,5945874,Any Lane,https://www.pexels.com/@any-lane,https://www.pexels.com/photo/fresh-healthy-fruits-placed-in-bowl-5945874/,High angle of mix of fresh ripe fruits placed in red bowl with holes against white background in light studio,fresh fruit assortment white background [color=white],4.234
galletas,assets/galletas.jpg,9421475,Леся Терехова,https://www.pexels.com/@3170155,https://www.pexels.com/photo/cookies-with-filling-over-white-surface-9421475/,"Tempting butter cookies filled with jam on a white background, perfect for any occasion.",biscuits cookies isolated white background [color=white],3.841
gel_ducha,assets/gel_ducha.jpg,8015784,Cup of  Couple,https://www.pexels.com/@cup-of-couple,https://www.pexels.com/photo/white-dispenser-pumps-and-brown-sponge-8015784/,"Stylish display of white cosmetic pump bottles and a yellow sponge on a clean white background, embodying minimalist bathroom aesthetics.",body wash shower gel bathroom bottle [color=white],4.569
harina,assets/harina.jpg,8108249,MART  PRODUCTION,https://www.pexels.com/@mart-production,https://www.pexels.com/photo/white-powdered-sugar-in-close-up-photography-8108249/,"Detailed close-up of a white powder texture, resembling flour or sugar.",flour bag baking white background [color=white],3.053
helados,assets/helados.jpg,4725724,Polina Tankilevitch,https://www.pexels.com/@polina-tankilevitch,https://www.pexels.com/photo/upside-down-ice-cream-4725724/,Close-up of an upside-down ice cream cone on a white background with melting ice cream.,ice cream tub isolated white background [color=white],3.676
higiene_femenina,assets/higiene_femenina.jpg,19962818,Marta Branco,https://www.pexels.com/@martabranco,https://www.pexels.com/photo/tampons-on-red-background-19962818/,"Flat lay of white tampons against a vivid red background, highlighting feminine hygiene products.",menstrual pads tampons box product [color=white],3.16
huevos,assets/huevos.jpg,6827027,Sharon  Snider,https://www.pexels.com/@sharon-snider-2339082,https://www.pexels.com/photo/green-colored-egg-with-white-eggs-on-a-carton-6827027/,Unique colored egg among white eggs in carton on white background,eggs carton isolated white background [color=white],4.467
lavavajillas,assets/lavavajillas.jpg,5217898,Anna Shvets,https://www.pexels.com/@shvetsa,https://www.pexels.com/photo/bottle-of-cleaning-product-on-table-5217898/,Yellow plastic bottle with antibacterial chemical liquid for household routine placed on table isolated on white background in light room,dishwasher detergent tablets white background [color=white],4.913
leche,assets/leche.jpg,14127931,Ann H,https://www.pexels.com/@ann-h-45017,https://www.pexels.com/photo/bottle-and-glasses-on-white-background-14127931/,Minimalist still life of milk in a ribbed glass bottle with glasses on a white backdrop.,milk bottle isolated white background [color=white],3.678
leche_infantil,assets/leche_infantil.jpg,9462348,Леся Терехова,https://www.pexels.com/@3170155,https://www.pexels.com/photo/plain-white-can-in-white-background-9462348/,Minimalist white can product mockup on a plain background for branding and design.,baby formula powder tin white background [color=white],6.782
legumbres,assets/legumbres.jpg,7421444,Vie Studio,https://www.pexels.com/@vie-studio,https://www.pexels.com/photo/grains-on-brown-wooden-spoons-7421444/,"Close-up of various grains in white wooden spoons on a soft brown background, showcasing nutrition.",dried beans lentils white background [color=white],4.05
limpiadores_hogar,assets/limpiadores_hogar.jpg,11969601,Towfiqu barbhuiya,https://www.pexels.com/@towfiqu-barbhuiya-3440682,https://www.pexels.com/photo/photo-of-white-spray-bottle-11969601/,"White spray bottle on pink and blue background with copy space, perfect for product mockups.",cleaning spray bottles white background [color=white],5.668
marisco,assets/marisco.jpg,33653815,Engin Akyurt,https://www.pexels.com/@enginakyurt,https://www.pexels.com/photo/fresh-raw-shrimp-on-ice-at-seafood-market-33653815/,"Closeup of fresh raw shrimp displayed on ice, ideal for healthy seafood dishes.",raw prawns shrimp white background [color=white],2.28
palomitas,assets/palomitas.jpg,57043,Keegan Evans,https://www.pexels.com/@keegan-evans-10986,https://www.pexels.com/photo/white-popcorns-on-round-white-ceramic-bowl-57043/,"Close-up of freshly popped popcorn in a white bowl, perfect for a movie night snack.",popcorn bowl isolated white background [color=white],3.129
pan,assets/pan.jpg,1756061,Mariana Kurnyk,https://www.pexels.com/@mariana-kurnyk-844465,https://www.pexels.com/photo/baked-bread-1756061/,"Freshly baked whole wheat bread sliced on a white background, showcasing its homemade texture.",loaf of bread isolated white background [color=white],4.494
panales,assets/panales.jpg,41165,Public Domain Pictures,https://www.pexels.com/@public-domain-pictures,https://www.pexels.com/photo/white-blue-orange-and-yellow-drawstring-bag-41165/,A top-view of colorful cloth diapers arranged in a circular pattern showcasing vivid hues and comfort.,disposable diapers stack,2.034
papel_higienico,assets/papel_higienico.jpg,5729364,Garreth Brown,https://www.pexels.com/@garreth,https://www.pexels.com/photo/close-up-of-toilet-paper-roll-on-white-background-5729364/,"Close-up of a white toilet paper roll on a neutral background, ideal for hygiene-related themes.",toilet paper rolls white background [color=white],4.34
pasta,assets/pasta.jpg,4518802,Polina Tankilevitch,https://www.pexels.com/@polina-tankilevitch,https://www.pexels.com/photo/close-up-shot-of-uncooked-spaghetti-noodles-4518802/,"High-quality image of uncooked spaghetti sticks on a white background, perfect for culinary projects.",dry spaghetti pasta white background [color=white],4.234
pasta_dientes,assets/pasta_dientes.jpg,4465829,https://kaboompics.com/,https://www.pexels.com/@karola-g,https://www.pexels.com/photo/organic-toothpaste-tube-and-bamboo-toothbrush-on-fresh-green-leaf-4465829/,Overhead view of white mockup tube of organic toothpaste and eco friendly bamboo toothbrush placed flat on big green chestnut leaf on light wooden background,toothpaste tube white background [color=white],3.85
pescado_blanco,assets/pescado_blanco.jpg,14062098,Deane Bayas,https://www.pexels.com/@dbaler,https://www.pexels.com/photo/abstract-photo-of-a-portion-salmon-in-an-ice-container-14062098/,A fresh salmon fillet placed on crushed ice in a metal container for cooling.,raw white fish fillet white background [color=white],3.207
pizza,assets/pizza.jpg,5419303,Polina Tankilevitch,https://www.pexels.com/@polina-tankilevitch,https://www.pexels.com/photo/italian-pizza-on-white-background-5419303/,"Delicious Italian pizza with distinct slices on a simple white background, perfect for food photography.",frozen pizza isolated white background [color=white],3.496
potitos,assets/potitos.jpg,32474683,Sóc Năng Động,https://www.pexels.com/@soc-nang-d-ng-2150345854,https://www.pexels.com/photo/colorful-array-of-jars-on-white-shelves-32474683/,Rows of small colorful jars on white shelves forming a vibrant display.,jars of baby food puree row,2.874
precocinados,assets/precocinados.jpg,29389694,Alejandro Aznar,https://www.pexels.com/@alejandro-aznar-155337093,https://www.pexels.com/photo/soup-in-white-container-on-metal-table-29389694/,"Delicious soup in a white container with lid, presented on a reflective metal surface.",frozen ready meal package white background [color=white],2.821
protector_solar,assets/protector_solar.jpg,18186034,Vilvah Store,https://www.pexels.com/@yaazhini,https://www.pexels.com/photo/tubes-of-sunscreen-cream-18186034/,"Close-up of sunscreen tubes displayed on white blocks against a yellow background, ideal for skincare promotions.",sunscreen bottle isolated white background [color=white],4.162
queso,assets/queso.jpg,4187779,Polina Tankilevitch,https://www.pexels.com/@polina-tankilevitch,https://www.pexels.com/photo/assorted-cheese-on-the-table-4187779/,Artistic stack of diverse gourmet cheeses on a white background.,cheese wedge isolated white background [color=white],2.436
refrescos,assets/refrescos.jpg,4195603,https://kaboompics.com/,https://www.pexels.com/@karola-g,https://www.pexels.com/photo/open-grey-metal-soda-can-4195603/,From above closeup of open wide mouth aluminum soft drink can on grey background,aluminium soft drink,4.589
salsa_tomate,assets/salsa_tomate.jpg,8108152,MART  PRODUCTION,https://www.pexels.com/@mart-production,https://www.pexels.com/photo/marinara-sauce-in-a-cup-8108152/,"A close-up of rich marinara sauce in a white ceramic cup, perfect for pasta dishes.",tomato sauce jar white background [color=white],3.005
snacks,assets/snacks.jpg,7788308,Ivan Babydov,https://www.pexels.com/@babydov,https://www.pexels.com/photo/potato-chips-on-a-paper-purse-7788308/,"Colorful striped container of crispy potato chips on a vibrant yellow background, perfect for snack-themed content.",potato chips snack bag white background [color=white],4.014
sopas,assets/sopas.jpg,35972716,Valentin Ivantsov,https://www.pexels.com/@valentin-ivantsov-2154772556,https://www.pexels.com/photo/open-tin-can-with-spoon-on-white-background-35972716/,"A close-up of an open tin can with a spoon resting inside, isolated on a white background.",vegetable soup can tin label [color=white],5.08
suavizante,assets/suavizante.jpg,5218021,Anna Shvets,https://www.pexels.com/@shvetsa,https://www.pexels.com/photo/plastic-bottle-of-detergent-in-studio-5218021/,Pink plastic bottle of detergent without label placed on pink background in studio,fabric softener blue bottle laundry care,5.517
toallitas,assets/toallitas.jpg,9771341,Towfiqu barbhuiya,https://www.pexels.com/@towfiqu-barbhuiya-3440682,https://www.pexels.com/photo/close-up-photo-of-wet-wipes-9771341/,"Brightly colored wet wipes package on a blue surface, symbolizing hygiene and cleanliness.",wet wipes tissue pack [color=white],2.892
torrijas,assets/torrijas.jpg,4828349,Polina Tankilevitch,https://www.pexels.com/@polina-tankilevitch,https://www.pexels.com/photo/photo-of-a-cardamom-knot-on-a-white-cylinder-4828349/,A single cardamom knot bun elegantly presented on a minimalist white pedestal against a neutral background.,sweet pastry bun sugar white background [color=white],3.096
turron,assets/turron.jpg,8793943,Tamanna Rumee,https://www.pexels.com/@tamanna-rumee-52377920,https://www.pexels.com/photo/caramel-coated-nuts-on-blue-and-white-surface-8793943/,"Close-up of sweet almond caramel slices on white and blue background, perfect for food photography.",nougat almond bar sweet white background [color=white],4.209
verdura,assets/verdura.jpg,12296935,Paul Seling,https://www.pexels.com/@paulseling,https://www.pexels.com/photo/food-vegetables-cooking-onions-12296935/,"A close-up of fresh brown onions on a white background, perfect for culinary concepts.",fresh vegetables isolated white background [color=white],4.526
verduras_congeladas,assets/verduras_congeladas.jpg,8580713,RDNE Stock project,https://www.pexels.com/@rdne,https://www.pexels.com/photo/green-peas-in-clear-glass-jar-8580713/,High-angle view of green peas spilling out of a glass jar onto a white surface.,frozen peas vegetables white background [color=white],4.194
vino,assets/vino.jpg,8789773,Darina Belonogova,https://www.pexels.com/@darina-belonogova,https://www.pexels.com/photo/bottle-and-grapes-8789773/,"A wine bottle and fresh grapes spill from a bowl on a white background, ideal for wine and fruit themes.",red wine bottle isolated white background [color=white],5.796
yogur,assets/yogur.jpg,19573135,Tuğba ÖZTÜRK,https://www.pexels.com/@tugba-ozturk-368300535,https://www.pexels.com/photo/honey-dipper-fruit-and-bowls-19573135/,"Top view of a nutritious breakfast with blueberries, nuts, and honey on a white background.",greek yogurt bowl with spoon [color=white],2.441
zumos,assets/zumos.jpg,26791698,Berna,https://www.pexels.com/@mibernaa,https://www.pexels.com/photo/close-up-of-a-bottle-of-orange-juice-lying-on-a-white-sheet-26791698/,"Close-up of a vibrant orange juice bottle lying on a soft white surface, exuding freshness.",orange juice bottle white background [color=white],4.219
